timestamp,transmitting,frequency,symbolrate,channel_1,channel_2,channel_3,timestamp_accuracy,remarks
2019-08-04 07:20:00,0,,,,,,m,
2019-08-08 06:10:00,1,137.9,72000,,,,m,
2019-08-12 08:16:00,1,137.1,80000,,,,m,
2019-08-14 09:10:00,1,137.9,80000,,,,m,
2019-08-15 09:12:00,1,137.9,72000,67,68,69,m,
2019-08-16 06:30:00,1,137.1,72000,67,68,69,m,
2019-08-20 11:46:00,1,137.9,80000,64,65,66,m,
2019-08-26 06:00:00,1,137.1,80000,64,65,66,d,
2019-08-27 05:45:00,0,137.1,80000,64,65,66,m,
2019-08-27 10:40:00,1,137.1,80000,64,65,66,m,
2019-08-29 12:14:00,1,137.1,80000,67,68,69,m,
2019-09-02 10:00:00,1,137.9,72000,67,68,69,d,switch between 03:46 and 10:17
2019-09-04 06:05:00,1,137.1,72000,67,68,69,m,
2019-09-06 05:20:00,1,137.1,80000,67,68,69,m,
2019-09-09 06:00:00,1,137.9,80000,67,68,69,m,
2019-09-10 05:20:00,1,137.9,72000,64,65,66,m,
2019-10-24 06:00:00,1,137.9,72000,64,65,68,d,switch between 14:40 and 12:20
2019-11-13 13:14:30,1,137.9,72000,64,65,66,s,
